source,label,corpus,role,alpha,score,correction,n_points,n_patients,prevalence,n_positive,coverage_mean,coverage_sd,coverage_diagnosis_mean,coverage_diagnosis_sd,coverage_no_diagnosis_mean,coverage_no_diagnosis_sd,mean_set_size_mean,mean_set_size_sd,threshold_no_diagnosis_mean,threshold_diagnosis_mean,threshold_diagnosis_n_infinite,n_draws_target_prior_unidentified,calibration_n_mean,calibration_effective_size_mean,n_draws
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.2,lac,none,2000,1710,0.822,1644,0.7988,0.0219,0.8338,0.0228,0.6369,0.0321,0.8389,0.0227,0.25123,0.25123,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.2,lac,none,8000,6937,0.82675,6614,0.797,0.0113,0.8375,0.012,0.6039,0.0078,0.838,0.0136,0.25123,0.25123,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.2,lac,none,7983,7983,0.18539,1480,0.479,0.0046,0.9411,0.0045,0.3738,0.0046,0.8302,0.016,0.25123,0.25123,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.2,lac,none,4115,4115,0.17375,715,0.3311,0.0038,0.9793,0.0028,0.1948,0.004,0.7861,0.0186,0.25123,0.25123,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.2,lac,none,4124,4124,0.08754,361,0.2738,0.003,0.9707,0.0031,0.2069,0.003,0.8196,0.0146,0.25123,0.25123,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.2,lac,mondrian,2000,1710,0.822,1644,0.7993,0.0215,0.7994,0.0248,0.7986,0.0417,0.9281,0.0375,0.68435,0.21431,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.2,lac,mondrian,8000,6937,0.82675,6614,0.8016,0.0127,0.7992,0.0137,0.8134,0.0351,0.9252,0.0354,0.68435,0.21431,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.2,lac,mondrian,7983,7983,0.18539,1480,0.6013,0.0303,0.9258,0.0057,0.5275,0.0372,0.9273,0.0336,0.68435,0.21431,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.2,lac,mondrian,4115,4115,0.17375,715,0.4932,0.0399,0.9714,0.003,0.3926,0.0483,0.9081,0.0427,0.68435,0.21431,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.2,lac,mondrian,4124,4124,0.08754,361,0.4116,0.0347,0.9572,0.0056,0.3593,0.0381,0.9238,0.0372,0.68435,0.21431,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.2,lac,weighted,2000,1710,0.822,1644,0.7994,0.0213,0.8345,0.022,0.6372,0.0327,0.8398,0.0222,0.25198,0.25199,0,0,1000.8,995.6,200
ptbxl,NSR,ptbxl,home,0.2,lac,weighted,8000,6937,0.82675,6614,0.798,0.0112,0.8385,0.0119,0.6047,0.0077,0.8391,0.0135,0.25232,0.25234,0,0,1000.8,999.4,200
ptbxl,NSR,chapman_ningbo,away,0.2,lac,weighted,7983,7983,0.18539,1480,0.504,0.0066,0.9593,0.0031,0.4004,0.0074,0.913,0.0183,0.35327,0.3506,0,0,1000.8,641.1,200
ptbxl,NSR,georgia,away,0.2,lac,weighted,4115,4115,0.17375,715,0.339,0.0054,0.9838,0.0027,0.2035,0.006,0.8199,0.0212,0.27892,0.27817,0,0,1000.8,941.6,200
ptbxl,NSR,cpsc,away,0.2,lac,weighted,4124,4124,0.08754,361,0.2811,0.0039,0.9743,0.0021,0.2146,0.004,0.8519,0.0163,0.28723,0.28637,0,0,1000.8,912.1,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.2,aps,none,2000,1710,0.822,1644,0.7986,0.0181,0.8328,0.0174,0.6405,0.0362,0.9088,0.0225,0.7576,0.7576,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.2,aps,none,8000,6937,0.82675,6614,0.7941,0.0135,0.8258,0.0136,0.6426,0.0163,0.9117,0.0187,0.7576,0.7576,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.2,aps,none,7983,7983,0.18539,1480,0.4793,0.0111,0.798,0.0174,0.4067,0.0103,0.9136,0.0182,0.7576,0.7576,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.2,aps,none,4115,4115,0.17375,715,0.3823,0.0113,0.8064,0.0196,0.2931,0.0106,0.9421,0.0197,0.7576,0.7576,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.2,aps,none,4124,4124,0.08754,361,0.3136,0.0094,0.7948,0.0248,0.2674,0.0091,0.9195,0.019,0.7576,0.7576,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.2,aps,mondrian,2000,1710,0.822,1644,0.7997,0.0168,0.7998,0.019,0.7993,0.0401,1.0104,0.0358,0.8918,0.72465,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.2,aps,mondrian,8000,6937,0.82675,6614,0.7948,0.0128,0.7925,0.0149,0.8061,0.0254,1.0158,0.0339,0.8918,0.72465,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.2,aps,mondrian,7983,7983,0.18539,1480,0.6166,0.0293,0.7634,0.0188,0.5832,0.0358,1.041,0.0331,0.8918,0.72465,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.2,aps,mondrian,4115,4115,0.17375,715,0.5274,0.0315,0.7724,0.0212,0.4759,0.0379,1.0697,0.0355,0.8918,0.72465,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.2,aps,mondrian,4124,4124,0.08754,361,0.4528,0.0311,0.7607,0.0265,0.4232,0.034,1.0364,0.0335,0.8918,0.72465,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.2,aps,weighted,2000,1710,0.822,1644,0.7992,0.0178,0.8335,0.0172,0.6408,0.0366,0.9094,0.0228,0.75803,0.75802,0,0,1000.8,995.6,200
ptbxl,NSR,ptbxl,home,0.2,aps,weighted,8000,6937,0.82675,6614,0.7949,0.0134,0.8266,0.0134,0.6435,0.0163,0.9129,0.0185,0.75841,0.75835,0,0,1000.8,999.4,200
ptbxl,NSR,chapman_ningbo,away,0.2,aps,weighted,7983,7983,0.18539,1480,0.535,0.0183,0.8555,0.0193,0.462,0.0185,1.0026,0.0285,0.81534,0.81389,0,0,1000.8,641.1,200
ptbxl,NSR,georgia,away,0.2,aps,weighted,4115,4115,0.17375,715,0.3986,0.0131,0.8255,0.0196,0.3088,0.0128,0.9716,0.0224,0.77678,0.77629,0,0,1000.8,941.6,200
ptbxl,NSR,cpsc,away,0.2,aps,weighted,4124,4124,0.08754,361,0.3309,0.0117,0.8189,0.0247,0.2841,0.0113,0.9548,0.0226,0.78171,0.78105,0,0,1000.8,912.1,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.1,lac,none,2000,1710,0.822,1644,0.8978,0.0149,0.9371,0.014,0.7161,0.0287,0.9636,0.0146,0.43504,0.43504,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.1,lac,none,8000,6937,0.82675,6614,0.8903,0.0076,0.9321,0.0074,0.6907,0.0088,0.9651,0.0115,0.43504,0.43504,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.1,lac,none,7983,7983,0.18539,1480,0.5228,0.0051,0.9678,0.0027,0.4215,0.0056,0.9619,0.0115,0.43504,0.43504,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.1,lac,none,4115,4115,0.17375,715,0.3816,0.0053,0.9934,0.0011,0.2529,0.0063,0.9517,0.0153,0.43504,0.43504,0,0,1000.8,1000.8,200
ptbxl,NSR,cpsc,away,0.1,lac,none,4124,4124,0.08754,361,0.3132,0.0053,0.9858,0.001,0.2487,0.0057,0.9591,0.0125,0.43504,0.43504,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl-calibration-holdout,calibration holdout,0.1,lac,mondrian,2000,1710,0.822,1644,0.8987,0.0154,0.8981,0.0178,0.9017,0.0316,1.1696,0.0283,0.84063,0.35045,0,0,1000.8,1000.8,200
ptbxl,NSR,ptbxl,home,0.1,lac,mondrian,8000,6937,0.82675,6614,0.9008,0.0058,0.8987,0.0066,0.9107,0.0107,1.1773,0.0285,0.84063,0.35045,0,0,1000.8,1000.8,200
ptbxl,NSR,chapman_ningbo,away,0.1,lac,mondrian,7983,7983,0.18539,1480,0.7441,0.0228,0.9596,0.0017,0.695,0.028,1.169,0.0257,0.84063,0.35045,0,0,1000.8,1000.8,200
ptbxl,NSR,georgia,away,0.1,lac,mondrian,4115,4115,0.17375,715,0.6672,0.0265,0.9889,0.0008,0.5996,0.032,1.2055,0.0296,0.84063,0.35045,0,0,1000.8,1000.8,200
