source,label,corpus,role,correction,subgroup_kind,subgroup,n_positive,n_positive_patients,thin,coverage,sd_over_calibration_draws,bootstrap_lo,bootstrap_hi,bootstrap_width,chow_coverage,conformal_minus_chow
ptbxl,NSR,ptbxl,home,none,all,all,6614,5923,False,0.9321,0.0074,0.9256,0.9382,0.0126,0.9308,0.0013
ptbxl,NSR,ptbxl,home,none,sex,male,3434,3011,False,0.9243,0.0085,0.915,0.9332,0.0182,0.9229,0.0014
ptbxl,NSR,ptbxl,home,none,sex,female,3180,2912,False,0.9405,0.0063,0.9311,0.9489,0.0177,0.9394,0.0011
ptbxl,NSR,ptbxl,home,none,age,<50,1843,1695,False,0.9631,0.0035,0.9536,0.9712,0.0176,0.9625,0.0006
ptbxl,NSR,ptbxl,home,none,age,50-64,2100,1860,False,0.9449,0.0078,0.9346,0.9555,0.0208,0.9437,0.0013
ptbxl,NSR,ptbxl,home,none,age,65-74,1450,1296,False,0.9302,0.0084,0.918,0.9426,0.0246,0.9287,0.0015
ptbxl,NSR,ptbxl,home,none,age,>=75,1221,1087,False,0.8655,0.0117,0.844,0.8857,0.0417,0.8635,0.002
ptbxl,NSR,ptbxl,home,mondrian,all,all,6614,5923,False,0.8987,0.0066,0.8906,0.9064,0.0159,0.8976,0.001
ptbxl,NSR,ptbxl,home,mondrian,sex,male,3434,3011,False,0.8854,0.008,0.8736,0.8965,0.0229,0.8841,0.0013
ptbxl,NSR,ptbxl,home,mondrian,sex,female,3180,2912,False,0.913,0.0051,0.9022,0.9231,0.0209,0.9122,0.0008
ptbxl,NSR,ptbxl,home,mondrian,age,<50,1843,1695,False,0.948,0.0037,0.9364,0.958,0.0216,0.9474,0.0006
ptbxl,NSR,ptbxl,home,mondrian,age,50-64,2100,1860,False,0.9119,0.0068,0.8987,0.9248,0.0261,0.9109,0.0011
ptbxl,NSR,ptbxl,home,mondrian,age,65-74,1450,1296,False,0.8908,0.0067,0.8741,0.9062,0.0321,0.8896,0.0011
ptbxl,NSR,ptbxl,home,mondrian,age,>=75,1221,1087,False,0.8108,0.0107,0.7853,0.8337,0.0484,0.8093,0.0015
ptbxl,NSR,chapman_ningbo,away,none,all,all,1480,1480,False,0.9678,0.0027,0.959,0.9772,0.0182,0.9673,0.0005
ptbxl,NSR,chapman_ningbo,away,none,sex,male,673,673,False,0.9622,0.0035,0.9478,0.9752,0.0274,0.9616,0.0006
ptbxl,NSR,chapman_ningbo,away,none,sex,female,807,807,False,0.9724,0.0021,0.961,0.9831,0.0221,0.972,0.0003
ptbxl,NSR,chapman_ningbo,away,none,age,<50,574,574,False,0.9641,0.0009,0.9481,0.978,0.03,0.964,0.0001
ptbxl,NSR,chapman_ningbo,away,none,age,50-64,493,493,False,0.9834,0.0021,0.9708,0.9928,0.022,0.9831,0.0003
ptbxl,NSR,chapman_ningbo,away,none,age,65-74,260,260,False,0.9643,0.0068,0.9408,0.9828,0.042,0.9631,0.0012
ptbxl,NSR,chapman_ningbo,away,none,age,>=75,153,153,False,0.9371,0.008,0.8976,0.9742,0.0766,0.9359,0.0011
ptbxl,NSR,chapman_ningbo,away,mondrian,all,all,1480,1480,False,0.9596,0.0017,0.9495,0.9694,0.02,0.9594,0.0002
ptbxl,NSR,chapman_ningbo,away,mondrian,sex,male,673,673,False,0.9517,0.0022,0.9352,0.9677,0.0324,0.9515,0.0002
ptbxl,NSR,chapman_ningbo,away,mondrian,sex,female,807,807,False,0.9663,0.0016,0.9534,0.9779,0.0245,0.966,0.0003
ptbxl,NSR,chapman_ningbo,away,mondrian,age,<50,574,574,False,0.9609,0.0019,0.9453,0.9763,0.031,0.9607,0.0002
ptbxl,NSR,chapman_ningbo,away,mondrian,age,50-64,493,493,False,0.9782,0.0019,0.9656,0.9904,0.0247,0.9779,0.0003
ptbxl,NSR,chapman_ningbo,away,mondrian,age,65-74,260,260,False,0.9517,0.003,0.9251,0.9751,0.05,0.9515,0.0002
ptbxl,NSR,chapman_ningbo,away,mondrian,age,>=75,153,153,False,0.9084,0.001,0.8627,0.9477,0.085,0.9084,0.0
ptbxl,NSR,georgia,away,none,all,all,715,715,False,0.9934,0.0011,0.987,0.9984,0.0114,0.9933,0.0002
ptbxl,NSR,georgia,away,none,sex,male,316,316,False,0.9932,0.0013,0.9832,1.0,0.0168,0.993,0.0001
ptbxl,NSR,georgia,away,none,sex,female,399,399,False,0.9936,0.0013,0.9849,1.0,0.0151,0.9934,0.0002
ptbxl,NSR,georgia,away,none,age,<50,271,271,False,0.9926,0.0004,0.9815,1.0,0.0185,0.9925,0.0
ptbxl,NSR,georgia,away,none,age,50-64,244,244,False,0.9937,0.0021,0.9829,1.0,0.0171,0.9934,0.0003
ptbxl,NSR,georgia,away,none,age,65-74,133,133,False,1.0,0.0,1.0,1.0,0.0,1.0,0.0
ptbxl,NSR,georgia,away,none,age,>=75,59,59,False,0.9975,0.006,0.9926,1.0,0.0074,0.9969,0.0007
ptbxl,NSR,georgia,away,mondrian,all,all,715,715,False,0.9889,0.0008,0.9804,0.9958,0.0154,0.9888,0.0001
ptbxl,NSR,georgia,away,mondrian,sex,male,316,316,False,0.987,0.0011,0.9737,0.9968,0.0231,0.9869,0.0001
ptbxl,NSR,georgia,away,mondrian,sex,female,399,399,False,0.9903,0.0009,0.9806,0.9978,0.0172,0.9903,0.0001
ptbxl,NSR,georgia,away,mondrian,age,<50,271,271,False,0.9885,0.0013,0.9742,0.9996,0.0253,0.9884,0.0002
ptbxl,NSR,georgia,away,mondrian,age,50-64,244,244,False,0.9883,0.0014,0.973,1.0,0.027,0.9882,0.0001
ptbxl,NSR,georgia,away,mondrian,age,65-74,133,133,False,1.0,0.0,1.0,1.0,0.0,1.0,0.0
ptbxl,NSR,georgia,away,mondrian,age,>=75,59,59,False,0.9831,0.0,0.9492,1.0,0.0508,0.9831,-0.0
ptbxl,NSR,cpsc,away,none,all,all,361,361,False,0.9858,0.001,0.9721,0.9969,0.0248,0.9857,0.0001
